min,sec,tag
0,0,**** 1쿼터 시작 ****
3,46,검은팀 골대앞 홈런
7,10,조끼팀 중거리 슛 그러나 노골
9,11,조끼팀 우측에서 단독 드리블 후 골
11,4,조끼팀 골대 앞부터 단독 드리블 후 골
11,56,일반팀 골대 강타
13,44,일반팀 좋은 패스 후 터닝 슛. 하지만 골대
20,31,조끼팀 패스 플레이 그러나 노골
20,56,검은팀 좋은 패스 플레이 후 골
28,19,조끼팀 골. 쉬는시간.
34,31,**** 2쿼터 시작 ****
35,21,조끼팀 가운데서 슛 그리고 골
36,14,일반팀 롱킥을 받아 크로스 후 골
38,52,일반팀 여러번 패스 후 골
47,51,조끼팀 중앙에서 좋은 패스 후 골
49,36,조끼팀 우측으로 좋은 패스 후 우측에서 골
52,37,조끼팀 우측으로 좋은 패스 후 우측에서 골
55,2,조끼팀 골! 2쿼터 끝
61,16,**** 3쿼터 시작 ****
62,6,일반팀 코너킥 상황에서 골
64,6,일반팀 골대 정면 골
65,44,조끼팀 중앙에서 좋은 패스 후 골
67,56,조끼팀 우측에서 중거리 슛 그리고 골
69,20,조끼팀 중앙에서부터 단독 드리블 후 골
70,58,검은팀 스피디한 드리블 후 골
71,49,조끼팀 혼전상황 속 골
72,51,검은팀 빈 골대 노골
80,13,조끼팀 골키퍼 제치면서 골
86,41,3쿼터 종료.
93,16,**** 4쿼터 시작 ****
94,33,검은팀 아슬아슬 노골
94,56,조끼팀 골키퍼 다리사이로 골
96,21,검은팀 오른쪽에서 강한 슈팅으로 골
97,23,검은팀 코너킥 상황에서 골
99,16,조끼팀 좋은 패스 후 중앙에서 골
100,26,검은팀 골대 오른쪽에서 골
103,49,검은팀 패스플레이 후 골
106,2,검은팀 중앙에서 골
106,29,검은팀 역습 후 골
107,27,검은팀 중앙에서 골
111,33,조끼팀 골(웃긴골?)
112,38,검은팀 빠른 역습 루 골
114,19,조끼팀 중거리 슛 골
114,50,조끼팀 골. 경기 종료.
