min,sec,tag
0,0,******1쿼터 시작******
2,43,조끼팀 상대 실수 커팅 후 마무리 ⚽️
3,44,일반팀 좋은 패스 플레이 이후 중앙에서 마무리 ⚽️
8,19,일반팀 왼쪽에서 좋은 슈팅 그러나 노골
9,17,일반팀 좋은 패스플레이 이후 왼쪽에서 득점 ⚽️
11,26,일반팀 왼쪽에서 좋은 개인기 그러나 선방
13,59,일반팀 깔끔한 마무리 ⚽️
14,47,일반팀 좋은 횡패스 이후 마무리 ⚽️
15,19,알반팀 왼쪽에서 깔끔한 마무리 ⚽️
18,57,조끼팀 속공 이후 골키퍼 다리사이로 마무리 ⚽️
21,21,일반팀 왼쪽에서 중앙으로 이동후 깔끔한 마무리 ⚽️
22,39,******1쿼터 종료******
32,6,******2쿼터 시작******
33,22,일반팀 왼쪽에서 크로스 받아 마무리 ⚽️
34,18,일반팀 중앙에서 슛터링 후 키퍼의 멋있는 선방
40,55,조끼팀 중앙에서 1대1 찬스 그러나 골키퍼의 승리
42,5,조끼팀 오른쪽에서 크로스 후 마무리 그러나 골대
44,35,일반팀 오른쪽에서 좋은 크로스 이후 마무리 ⚽️
45,46,일반팀 중앙에서부터 개인기 이후 가볍게 마무리 ⚽️
47,51,조끼팀 오른쪽에서 크로스 이후 강한 슈팅으로 마무리 ⚽️
49,27,일반팀 왼쪽에서 슛 그러나 수비수 엉덩이로 세이브 이후 세컨볼 마무리 ⚽️
50,24,일반팀 중앙 부근 멀리서 좋은 개인기 이후 정확한 슈팅으로 마무리 ⚽️
51,51,조끼팀 오른쪽에서 좋은 패스 받아 골키퍼 다리사이로 마무리 ⚽️
53,37,조끼팀 오른쪽에서 키퍼와의 경쟁 승리 후 깔끔한 마무리 ⚽️
54,39,일반팀 오른쪽 자기 진영에서 부터 신들린 개인기로 마무리까지 ⚽️
55,8,일반팀 수비 제치고 중앙에서 득점 ⚽️.
56,26,일반팀 세컨볼 득점 ⚽️
57,21,일반팀 긴 패스 받아 마무리 ⚽️
57,29,******2쿼터 종료******
66,20,******3쿼터 시작******
67,45,조끼팀 강한 슈팅에 골키퍼 부상 ❗
71,44,조끼팀 좋은 중거리 슛 그러나 키퍼의 좋은 선방
72,44,일반팀 오른쪽에서 크로스 받아 마무리 ⚽️
73,5,조끼팀 왼쪽 크로스 받아 감각적인 로빙슛 ⚽️
74,48,일반팀 긴 패스플레이 후 깔끔한 마무리 ⚽️
76,35,조끼팀 빠른 속공 후 왼쪽에서 침착한 마무리 ⚽️
77,27,일반팀 오른쪽에서 슛터링 이후 중앙에서 마무리 ⚽️
78,4,일반팀 오른쪽에서 크로스 이후 마무리 ⚽️
78,33,조끼팀 중앙에서 강한 중거리슛 그러나 골대
80,34,일반팀 여러 횡패스 이후 마무리 ⚽️
81,1,조끼팀 왼쪽에서 좋은 마무리 ⚽️
82,15,조끼팀 상대 수비 공 탈취 후 마무리 ⚽️
82,50,조끼팀 빠른 속공으로 득점 ⚽️
83,30,일반팀 상대 수비 틈타 득점 ⚽️
84,20,일반팀 왼쪽에서 크로스 이후 득점 ⚽️
84,45,일반팀 왼쪽에서 득점 ⚽️
88,31,조끼팀 오른쪽에서 크로스 받아 뒷발로 득점 ⚽️
88,49,*******3쿼터 종료******
99,4,******4쿼터 시작******
100,46,일반팀 패스 후 리턴받아 한 번 치고 마무리 ⚽️
101,37,조끼팀 골키퍼 가랑이 보고 사이로 마무리 ⚽️
103,26,일반팀 골대 정면에서 오른쪽으로 살짝 내주고 마무리 ⚽️
104,13,조끼팀 오른쪽에서 크로스 후 득점 ⚽️
106,14,조끼팀 골대맞고 나온 공 다시 차넣어 마무리 ⚽️
110,1,일반팀 득점 ⚽️
110,42,일반팀 골대 오른쪽에서 깔끔한 마무리 ⚽️
111,31,일반팀 골대맞고 나온 공 뒤로 내주고 인사이드로 정확하게 마무리 ⚽️
112,33,일반팀 라보나 하지만 키퍼 선방
112,40,조끼팀 빠르게 몰고 올라가서 크로스 후 득점 ⚽️
113,16,일반팀 왼쪽에서 슈팅 득점 ⚽️
115,6,조끼팀 띄워준 공 한 끗 차이로 헤딩 실패
116,42,일반팀 1분 동안 공 돌리고 띄워준 뒤 헤딩으로 내리 꽂아 득점 ⚽️
116,44,******경기 종료******
