min,sec,tag
0,45,경기 시작
1,35,골 ⚽️
7,20,철환 롱킥골 ⚽️
12,10,조끼팀 골 ⚽️
12,56,헛다리 잘나옴
21,7,조끼팀 골 ⚽️
29,2,일반팀 '바로 바로' 콜 후 골 ⚽️
37,19,조끼팀 오른쪽에서 강력한 슛 골 ⚽️
37,20,******1쿼터 종료******
48,15,******2쿼터 시작******
49,28,조끼팀 오른쪽에서 크로스 받아 골 ⚽️
50,30,조끼팀 코너킥? 받아서 골 ⚽️
53,20,일반팀 살짝 스루패스 후 가볍게 골 ⚽️
57,24,일반팀 좋은 패스플레이로 골 ⚽️
59,11,일반팀 염동훈 로빙 ⚽️
64,7,일반팀 골문앞 공 돌리다가 골 ⚽️
64,30,일반팀 키퍼 계속 턱걸이중… 잠시후 실점 에고
65,16,조끼팀 상대팀 골키퍼가 턱걸이하는 틈을 타 빠른 역슴으로 깔끌하게 골 ⚽️
65,52,일반팀 넣었지만 그렇게 차야했나 ⚽️
67,15,일반팀 한 번 더 그렇게 차야했나 ⚽️
72,9,조끼팀 골대 앞에서는 이렇게 차야지 보여주는 골 ⚽️
72,47,조끼팀 하프라인에서 빈골대로 패스하듯이 골 ⚽️
72,46,조끼팀 킥이 믓있게 나왔네 ⚽️
75,28,일반팀 골대앞 깔끔한 마무리 ⚽️
78,42,조끼팀 왼쪽 하프라인에서 빈골대에 마무리 ⚽️
78,44,******2쿼터 종료******
88,38,******3쿼터 시작******
91,13,조끼팀 자기 골대로 원더골. 무릎 꿇는거까지 완벽하네요 ⚽️
96,52,일반팀 롱킥을 헤딩으로 마무리하는 <원더골> ⚽️
99,18,일반팀 파울인거 같아서 안 넣은거 맞죠?^^
100,3,조끼팀 골대 오른쪽에서 득점 ⚽️
111,35,조끼팀 오른쪽에서 크로스 받아 마무리 ⚽️
111,36,******3쿼터 종료******
117,8,******4쿼터 시작******
120,5,일반팀 공이 안 보이는 강력한 로켓슛ㄷㄷ ⚽️
121,38,일반팀 골 ⚽️
126,54,조끼팀 일반팀이 걷어낸 공에 맞아서 득점 ⚽️
127,59,조끼팀 왼쪽에서 강력한 왼발 마무리 ⚽️
129,32,조끼팀 좋은 패스 플레이 후 마무리 ⚽️
137,57,******경기 종료******
