min,sec,tag
6,41,******1쿼터 시작******
7,23,일반팀 단독 드리블 후 골문 구석으로 정확한 슈팅 ⚽️
9,48,조끼팀 패스로 빌드업 후 왼쪽에서 반대편 옆그믈로 마무리 ⚽️
10,43,조끼팀 빠른 역습. 긴 거리를 단독 드리블 후 골키퍼 가랑이 사이로 마무리 ⚽️
14,1,일반팀 오른쪽으로 가볍게 내주고 갈끔하게 마무리 ⚽️
15,6,조끼팀 골대 오른쪽에서 낮게 슈팅 골대 강타
17,38,조끼팀 중앙에서 패스를 받아 깔끔하게 마무리 ⚽️
18,49,조끼팀 골대 오른쪽에서 중앙으로 한 번 툭 차고 슈팅 마무리 ⚽️
20,37,조끼팀 중앙에서 크로스 받아 마무리 ⚽️
21,37,일반팀 좋은 발재간으로 수비수 알먹인 뒤 좁은 골문으로 마무리 ⚽️
22,54,조끼팀 골대 오른쪽에서 슈팅. 골키퍼 다리 사이로 들어감.
27,16,******1쿼터 종료 ******
41,12,******2쿼터 시작******
44,46,조끼팀 골키퍼와의 일대일 찬스에서 결국 이기며 득점 ⚽️
46,23,조끼팀 왼쪽에서 공 탈취 후 깔끔한 마무리 ⚽️
47,34,조끼팀 왼쪽에서 긴 패스 받아 마무리 ⚽️
51,17,조끼팀 2대1 패스 이후 개인기로 마무리 ⚽️
53,29,일반팀 오른쪽에서 돌파 후 슈팅 그러나 골대 강타
55,5,일반팀 중앙에서 패스 받아 슈팅 그러나 선방
56,10,일반팀 세컨볼 받아 중앙에서 마무리 ⚽️
57,41,조끼팀 앞으로 나온 골키퍼 이기며 좋은 마무리 ⚽️
59,32,조끼팀 골대 맞고 나온 골 좋은 개인기로 마무리 ⚽️
61,0,일반팀 왼쪽에서 좋은 패스 받아 깔끔한 마무리 ⚽️
62,40,조끼팀 중앙에서 센스 있는 뒷발로 득점 ⚽️
65,17,일반팀 수비 실수 틈타 득점 ⚽️
65,22,******2쿼터 종료******
74,49,******3쿼터 시작******
75,46,일반팀 자신의 진영부터 좋은 개인기로 드리블 하여 마무리 ⚽️
76,35,조끼팀 자신의 진영에서 공 가로채고 단독 드리블 후 마무리 ⚽️
78,12,조끼팀 오른쪽에서 패스 받고 중거리 슈팅 ⚽️
80,7,조끼팀 오른쪽에서 정확한 슈팅으로 마무리 ⚽️
81,25,일반팀 오른쪽에서의 패스 받아 슈팅 그러나 골대 강타
82,24,조끼팀 하프라인 슈팅 그러나 수비수의 좋은 세이브
82,48,알번탐 완전한 일대일 찬스 그러나 골키퍼의 승리
85,19,일반팀 롱패스 받아 일대일 찬스 침착한 마무리 ⚽️
86,40,조끼팀 오른쪽에서 단독 드리블 후 골대 맞추며 침착한 마무리 ⚽️
88,16,조끼팀 왼쪽에서 슈팅 그러나 골대 강타
89,14,일반팀 중앙에서 득점 ⚽️
91,27,조끼팀 왼쪽에서 간결한 패스 이후 중앙에서 마무리 ⚽️
92,41,조끼팀 가운데에서 왼쪽으로 내주고 ⚽️
94,1,조끼팀 왼쪽에서 슈팅 골대
94,10,일반팀 왼쪽에서 슈팅 골대
95,25,일반팀 골대 정면에서 무자비한 슈팅 ⚽️
97,5,일반팀 골대 왼쪽에서 패스 받아 마무리 후 하이파이브까지~ ⚽️
99,21,조끼팀 골대 왼쪽에서 좁은 틈으로 득점 ⚽️ (비디오 판독 결과: 노골 )
99,24,****** 마지막 골판정 논란 이후 경기 종료 ******
